Количество ядер,Количество логических процессоров (потоков),Тактовая частота процессора (ГГц),Максимальная тактовая частота (ГГц),Объем кэша L2 процессора (Кб),Объем кэша L3 процессора (Кб),Частота оперативной памяти (МГц),HDD (Гб),SSD(Гб),Объем видеопамяти (Гб) [дискретной],Объем видеопамяти (Гб) [встроенной],Учебный,Развлекательный,Эталон,Наличие графического ускорителя: дискретный,Тип видеопамяти: DDR4,Тип видеопамяти: GDDR5,Тип видеопамяти: GDDR6,Тип видеопамяти: LPDDR4X,Тип видеопамяти: SMA,Оперативная память > 8,benchmark
6,12,3.0,4.0,3072,8192,3200,0,512,4.0,0.5,5076,5082,5120,1.0,0,0,1,0,0,1,15278
2,4,2.2,3.4,512,4096,2133,0,128,0.0,0.128,2523,2299,2743,0.0,0,0,0,0,1,0,7565
8,8,2.0,4.1,4096,8192,2667,0,512,0.0,8.0,4424,4371,4565,0.0,1,0,0,0,0,1,13360
6,12,2.3,4.2,3072,16384,3200,0,512,0.0,8.0,5052,5138,5204,0.0,1,0,0,0,0,1,15394
4,4,1.1,3.3,1536,4096,3200,0,256,0.0,8.0,2176,2506,2561,0.0,1,0,0,0,0,1,7243
2,4,2.5,3.1,512,3072,2133,500,96,4.0,2.0,2366,2331,2694,1.0,0,1,0,0,0,0,7391
8,16,3.0,4.0,3072,8192,3200,0,512,0.0,4.0,5083,5101,5034,0.0,0,0,0,1,0,1,15218
2,4,1.2,3.6,1024,4096,2667,0,250,0.0,1.0,3255,3237,3542,0.0,1,0,0,0,0,1,10034
4,8,1.6,4.2,1024,6144,1333,0,256,2.0,1.0,3820,3757,3806,1.0,0,1,0,0,0,1,11383
4,8,2.1,3.7,2048,4096,2400,0,256,4.0,4.0,3670,3719,3861,1.0,0,1,0,0,0,1,11250
4,8,2.4,4.1,1024,8192,2666,0,512,4.0,0.0,3624,2901,4122,1.0,0,1,0,0,0,1,10647
4,4,2.1,2.3,512,4096,2400,0,256,0.0,4.0,3028,3253,3258,0.0,1,0,0,0,0,1,9539
4,8,1.6,1.8,1024,6144,2400,0,256,0.0,4.0,3460,3652,3757,0.0,1,0,0,0,0,1,10869
4,8,2.4,4.1,1024,8192,2666,0,512,4.0,0.125,4101,4266,4304,1.0,0,1,0,0,0,1,12671
2,2,2.2,2.5,1024,0,1866,500,0,0.0,0.125,1221,1241,1411,0.0,1,0,0,0,0,0,3873
2,4,2.0,2.0,512,3072,2133,0,240,2.0,0.0625,1910,2043,2071,1.0,0,1,0,0,0,1,6024
4,8,2.1,3.7,2048,4096,2400,0,256,0.0,2.0,2417,2411,2385,0.0,1,0,0,0,0,1,7213
4,8,1.3,3.9,2048,8192,3733,0,512,0.0,8.0,3772,3825,3864,0.0,1,0,0,0,0,1,11461
4,8,1.6,3.4,1024,6144,2400,0,239,0.0,0.128,3278,2033,3370,0.0,1,0,0,0,0,1,8681
4,8,2.6,3.8,2048,4096,3200,0,512,0.0,0.5,2776,2776,2809,0.0,1,0,0,0,0,1,8361
2,4,2.5,3.1,512,4096,2133,1000,256,2.0,0.125,2343,2771,2581,1.0,0,1,0,0,0,1,7695
2,4,1.7,2.7,256,3072,1600,0,240,0.0,1.0,2191,2165,2257,0.0,0,0,0,0,1,1,6613
4,8,1.0,1.2,512,6144,2667,0,512,2.0,1.9,2774,3919,3551,1.0,0,1,0,0,0,1,10244
