Модель (полное название),Модель процессора,Год выпуска процессора,Тактовая частота процессора(ГГц),Максимальная тактовая частота процессора(ГГц),Частота шины процессора(GT/s),Объема кэша L2 процессора(Мб),Объема кэша L3 процессора(Мб),Объем оперативной памяти (Гб),Частота оперативной памяти (МГц),Тип оперативной памяти,Вид накопителя,Вид графического ускорителя,Количество ядер,Количество потоков,Результа ты в бенчмарке PCMark10
Asus ROG Strix GL703GE,Intel Сore i7-8750H,2018,2.2,4.1,8.0,1.0,9,16,2667,DDR4,HDD,Дискретный и встроенный,6,12,3726
Lenovo ThinkPad T440,Intel Core i5-4300U,2013,1.9,2.9,5.0,0.5,3,8,1596,DDR3,HDD,Встроенный,2,4,1846
Acer Travel Mate P259-MG-39WS,Intel Core i3-6006U,2016,2.0,2.0,4.0,0.5,3,6,2133,DDR4,HDD,Дискретный и встроенный,2,4,1426
MacBook Air Mid 2017,Intel Core i7-5650U,2015,2.2,3.2,5.0,0.5,4,8,1600,DDR3,SSD,Встроенный,2,4,2586
MacBook Air Mid 2017,Intel Core i5-5350U,2015,1.8,2.9,5.0,0.5,3,8,1600,DDR3,SSD,Встроенный,2,4,2039
hp pavilion gaming 15-dk0064ur,Intel Core i5-9300H,2019,2.4,4.1,8.0,1.0,8,8,2666,DDR4,HDD и SSD,Дискретный и встроенный,4,8,3659
Lenovo v580c,Intel Core i5-3230M,2013,2.6,3.2,5.0,0.5,3,6,1600,DDR4,HDD,Дискретный и встроенный,2,4,1824
Honor Magicbook Pro 4600H,AMD Ryzen 5 4600H,2020,3.0,4.0,6.5,3.0,8,16,2666,DDR4,SSD,Встроенный,6,12,2868
Dexp clv-650-sb,Intel Core i5-4210M,2014,2.6,3.2,5.0,0.5,3,8,1600,DDR3,HDD,Дискретный и встроенный,2,4,2561
Dell Vostro 5581,Intel Core i5-8265U,2018,1.6,3.9,4.0,1.0,6,8,2666,DDR4,SSD,Встроенный,4,8,3045
Asus tuf gaming fx504g,Intel Core i5-8300H,2018,2.3,4.0,8.0,1.0,8,6,2666,DDR4,HDD,Дискретный и встроенный,4,8,2869
HP OMEN 15-dc0018ur,Intel Core i7-8750H,2018,2.2,4.1,8.0,1.5,9,16,2666,DDR4,HDD и SSD,Дискретный и встроенный,6,12,4791
Lenovo IdeaPad 320-15ast,AMD A9-9425,2016,3.1,3.7,6.5,1.0,0,4,2666,DDR3,SSD,Встроенный,2,2,1862
ASUS Vivo book 15 X507UF,Intel Core i5-8250U, 2017,1.6,3.4,4.0,1.0,6,8,2400,DDR4,HDD и SSD,Дискретный и встроенный,4,8,2951
Hp omen 15-ce069ur,Intel Core i7-7700HQ,2017,2.8,3.8,8.0,1.0,6,12,2400,DDR4,HDD и SSD,Дискретный и встроенный,4,8,4017
Acer Aspire E5-575G,Intel Core i7-7500U Kaby Lake ,2016,2.7,3.5,4.0,0.5,4,8,2133,DDR4,HDD,Дискретный и встроенный,2,4,2174
Acer Aspire E5-575G,Intel Core i5-7200U Kaby Lake,2016,2.5,3.1,4.0,0.5,4,6,2133,DDR4,HDD и SSD,Дискретный и встроенный,2,4,2096
Acer Aspire 3 A315-42-R0G1,AMD Ryzen 5 3500U,2019,2.1,3.7,4.0,2.0,4,8,2133,DDR4,SSD,Встроенный,4,8,3472
Alienware 15 R2, Intel Core i7-6700HQ,2015,2.9,3.8,8.0,1.0,6,16,2400,DDR4,HDD и SSD,Дискретный и встроенный,4,8,3397
ASUS ZenBook UX430UA,Intel Core i5-8250U Kaby Lake,2017,1.6,3.4,4.0,0.5,6,8,2133,DDR3,SSD,Встроенный,4,8,2730
ASUS X75V,Intel Pentium 2020M,2012,2.4,2.4,5.0,0.5,2,4,1333,DDR3,HDD,Дискретный и встроенный,2,2,1871
HP EliteBook Folio 9470m,Intel Core i5-3427U,2015,1.8,2.8,5.0,0.5,3,4,1600,DDR3,SSD,Встроенный,2,4,1933
Lenovo Z50-70 Laptop-Type 20354,Intel Core i5-4210U CPU,2014,1.7,2.7,5.0,0.5,3,6,1600,DDR3,HDD,Дискретный и встроенный,2,4,2080
Lenovo Ideapad 320-15ISK,Intel Core i3-6006U,2016,2.0,2.0,4.0,0.5,3,4,2133,DDR4,SSD,Встроенный,2,4,1922
MSI GP72m 7rex leopard pro,Intel Core i7-7700HQ Kaby Lake,2017,2.8,3.8,8.0,1.0,6,8,2400,DDR4,HDD,Дискретный и встроенный,4,8,3927
MSI GS63VR 7RF Stealth Pro,Intel Core i7-7700HQ,2017,2.8,3.8,8.0,1.0,6,16,2400,DDR4,HDD и SSD,Дискретный и встроенный,4,8,3651
Xiaomi Mi Notebook Pro 15.6,Intel Core i5-8250U Kaby Lake,2017,1.6,3.4,4.0,0.5,6,8,2400,DDR4,SSD,Дискретный и встроенный,4,8,3493
Acer Aspire A515-56,Intel Core i5 1035G1,2019,1.0,1.2,4.0,2.0,6,8,1600,DDR4,SSD,Дискретный и встроенный,4,8,3460
ASUS X555LD,Intel Core i5-4210U,2014,1.7,2.4,5.0,0.5,3,4,1600,DDR3,HDD,Дискретный и встроенный,2,4,1585
Lenovo IdeaPad S340-15API,AMD Ryzen 3 3200U,2019,2.6,3.5,0.0,1.0,4,8,2400,DDR4,SSD,Встроенный,2,4,2568
