Год выпуска процессора,Тактовая частота процессора(ГГц),Максимальная тактовая частота процессора(ГГц),Частота шины процессора(GT/s),Объема кэша L2 процессора(Мб),Объема кэша L3 процессора(Мб),Объем оперативной памяти (Гб),Частота оперативной памяти (МГц),Количество ядер,Количество потоков,Тип оперативной памяти,Вид графического ускорителя,HDD,SSD,Результа ты в бенчмарке PCMark10
2018,2.2,4.1,8.0,1.0,9,1,2667,6,12,1,1,1,0,3726
2013,1.9,2.9,5.0,0.5,3,1,1596,2,4,0,0,1,0,1846
2016,2.0,2.0,4.0,0.5,3,0,2133,2,4,1,1,1,0,1426
2015,2.2,3.2,5.0,0.5,4,1,1600,2,4,0,0,0,1,2586
2015,1.8,2.9,5.0,0.5,3,1,1600,2,4,0,0,0,1,2039
2019,2.4,4.1,8.0,1.0,8,1,2666,4,8,1,1,1,1,3659
2013,2.6,3.2,5.0,0.5,3,0,1600,2,4,1,1,1,0,1824
2014,2.6,3.2,5.0,0.5,3,1,1600,2,4,0,1,1,0,2561
2018,1.6,3.9,4.0,1.0,6,1,2666,4,8,1,0,0,1,3045
2018,2.3,4.0,8.0,1.0,8,0,2666,4,8,1,1,1,0,2869
2018,2.2,4.1,8.0,1.5,9,1,2666,6,12,1,1,1,1,4791
2017,1.6,3.4,4.0,1.0,6,1,2400,4,8,1,1,1,1,2951
2017,2.8,3.8,8.0,1.0,6,1,2400,4,8,1,1,1,1,4017
2016,2.7,3.5,4.0,0.5,4,1,2133,2,4,1,1,1,0,2174
2016,2.5,3.1,4.0,0.5,4,0,2133,2,4,1,1,1,1,2096
2019,2.1,3.7,4.0,2.0,4,1,2133,4,8,1,0,0,1,3472
2015,2.9,3.8,8.0,1.0,6,1,2400,4,8,1,1,1,1,3397
2017,1.6,3.4,4.0,0.5,6,1,2133,4,8,0,0,0,1,2730
2012,2.4,2.4,5.0,0.5,2,0,1333,2,2,0,1,1,0,1871
2015,1.8,2.8,5.0,0.5,3,0,1600,2,4,0,0,0,1,1933
2014,1.7,2.7,5.0,0.5,3,0,1600,2,4,0,1,1,0,2080
2016,2.0,2.0,4.0,0.5,3,0,2133,2,4,1,0,0,1,1922
2017,2.8,3.8,8.0,1.0,6,1,2400,4,8,1,1,1,0,3927
2017,2.8,3.8,8.0,1.0,6,1,2400,4,8,1,1,1,1,3651
2017,1.6,3.4,4.0,0.5,6,1,2400,4,8,1,1,0,1,3493
2019,1.0,1.2,4.0,2.0,6,1,1600,4,8,1,1,0,1,3460
2014,1.7,2.4,5.0,0.5,3,0,1600,2,4,0,1,1,0,1585
